from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
49205,49205,2024-04-02_31106-7_0,2024-04-02_31106-7_1,1
65300,65300,2024-04-03_13104-5_0,2024-04-03_13104-5_1,1
65300,65300,2024-04-03_13106-7_0,2024-04-03_13106-7_1,1
49205,49205,2024-04-03_31104-5_0,2024-04-03_31104-5_1,1
49205,49205,2024-04-03_31106-7_0,2024-04-03_31106-7_1,1
65300,65300,2024-04-04_13104-5_0,2024-04-04_13104-5_1,1
65300,65300,2024-04-04_13106-7_0,2024-04-04_13106-7_1,1
49205,49205,2024-04-04_31104-5_0,2024-04-04_31104-5_1,1
49205,49205,2024-04-04_31106-7_0,2024-04-04_31106-7_1,1
65300,65300,2024-04-05_13104-5_0,2024-04-05_13104-5_1,1
65300,65300,2024-04-05_13106-7_0,2024-04-05_13106-7_1,1
49205,49205,2024-04-05_31104-5_0,2024-04-05_31104-5_1,1
49205,49205,2024-04-05_31106-7_0,2024-04-05_31106-7_1,1
65300,65300,2024-04-06_13104-5_0,2024-04-06_13104-5_1,1
65300,65300,2024-04-06_13106-7_0,2024-04-06_13106-7_1,1
49205,49205,2024-04-06_31104-5_0,2024-04-06_31104-5_1,1
49205,49205,2024-04-06_31106-7_0,2024-04-06_31106-7_1,1
65300,65300,2024-04-07_13104-5_0,2024-04-07_13104-5_1,1
65300,65300,2024-04-07_13106-7_0,2024-04-07_13106-7_1,1
49205,49205,2024-04-07_31104-5_0,2024-04-07_31104-5_1,1
49205,49205,2024-04-07_31106-7_0,2024-04-07_31106-7_1,1
65300,65300,2024-04-08_13104-5_0,2024-04-08_13104-5_1,1
65300,65300,2024-04-08_13106-7_0,2024-04-08_13106-7_1,1
49205,49205,2024-04-08_31104-5_0,2024-04-08_31104-5_1,1
49205,49205,2024-04-08_31106-7_0,2024-04-08_31106-7_1,1
65300,65300,2024-04-09_13104-5_0,2024-04-09_13104-5_1,1
65300,65300,2024-04-09_13106-7_0,2024-04-09_13106-7_1,1
49205,49205,2024-04-09_31104-5_0,2024-04-09_31104-5_1,1
49205,49205,2024-04-09_31106-7_0,2024-04-09_31106-7_1,1
65300,65300,2024-04-10_13104-5_0,2024-04-10_13104-5_1,1
65300,65300,2024-04-10_13106-7_0,2024-04-10_13106-7_1,1
49205,49205,2024-04-10_31104-5_0,2024-04-10_31104-5_1,1
49205,49205,2024-04-10_31106-7_0,2024-04-10_31106-7_1,1
65300,65300,2024-04-11_13104-5_0,2024-04-11_13104-5_1,1
65300,65300,2024-04-11_13106-7_0,2024-04-11_13106-7_1,1
49205,49205,2024-04-11_31104-5_0,2024-04-11_31104-5_1,1
49205,49205,2024-04-11_31106-7_0,2024-04-11_31106-7_1,1
